"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4586","0","1","0.000000","0","0"
"/Game/Assets/Asian_Village/materials/building_materials/base_materials/M_base_color.M_base_color","0","23","2","1","36.443958","0","130"
"/Game/Assets/Weapon/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","9","1","1","13.659853","0","44"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","637","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","52","6","0.000000","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","68","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","42","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","7","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","7","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","0","92","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","0","28","2","0.000000","0","0"
"/Game/Assets/Asian_Village/materials/building_materials/base_materials/M_glass.M_glass","0","5","3","1","3.996080","0","14"
"/Game/Assets/Weapon/MilitaryWeapDark/FX/Materials/M_Tracer_A.M_Tracer_A","0","10","1","1","4.002364","0","27"
"/Game/Assets/Asian_Village/materials/postprocess_materials/M_postprocess.M_postprocess","0","4","4","1","1.955854","0","5"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","0","9","2","1","5.450545","0","29"
"/Game/Assets/ParagonDekker/FX/Materials/Flares/M_Lensflare_TB_SoftGlow.M_Lensflare_TB_SoftGlow","0","9","1","1","5.199821","0","27"
"/Game/Assets/ParagonDekker/FX/Materials/Tech/M_Spline_Light_Scanner.M_Spline_Light_Scanner","0","10","4","1","5.432093","0","42"
"/Game/Assets/Asian_Village/materials/landscape_materials/M_landscape_material.M_landscape_material","0","161","33","4","137.762634","0","1236"
"/Game/Assets/ParagonDekker/FX/Materials/Trails/M_Bullet_Trail.M_Bullet_Trail","0","10","10","1","4.276394","0","10"
"/Game/Assets/Asian_Village/materials/building_materials/M_building_wood.M_building_wood","0","88","2","2","72.252533","0","881"
"/Game/Assets/Asian_Village/materials/building_materials/base_materials/M_stone_tiles.M_stone_tiles","0","23","1","1","17.075539","0","186"
"/Game/Assets/Weapon/MilitaryWeapSilver/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","0","35","1","1","25.759727","0","187"
"/Game/Assets/Asian_Village/materials/water_materials/M_water_noise.M_water_noise","0","39","1","1","22.347197","0","271"
"/Game/Assets/Asian_Village/materials/cliff_materials/M_cliff.M_cliff","0","23","1","1","19.080297","0","155"
"/Game/Assets/Asian_Village/materials/trees_materials/M_bark.M_bark","0","118","1","1","98.466232","0","1494"
"/Game/Assets/Asian_Village/materials/props_materials/M_statue.M_statue","0","23","6","1","17.673349","0","100"
"/Game/Assets/Asian_Village/materials/building_materials/base_materials/M_wall_panel.M_wall_panel","0","23","5","1","17.674381","0","77"
"/Game/Assets/Weapon/MilitaryWeapSilver/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","9","1","1","5.407924","0","29"
